year	dist_travelled	dist_travelled_sc	nber_vehicles	nber_vehicles_sc	regist_vehicles	regist_vehicles_sc	unregist_vehicles	unregist_vehicles_sc	crashes	crashes_sc	fatal_crashes	fatal_crashes_sc	casualities	casualities_sc	persons_killed	persons_killed_sc	population_SA	population_SA_sc	driver_licence	driver_licence_sc
1964	32166000000	-0.799373742	9797586.924	-0.568623173	1414723	-0.734322644	648235.3829	-0.75952533	139401	-0.692452832	4615	-0.352595603	50813	-0.614972775	5104	-0.419441124	17500000	-0.691805004	7873807.009	-0.771958956
1965	36537000000	-0.704762891	9812900.124	-0.55533704	1541379	-0.698000725	649669.4953	-0.74515267	144497	-0.673452867	5003	-0.250149141	52179	-0.595307701	5602	-0.313166567	17900000	-0.664016759	7871962.516	-0.773565871
1966	39496000000	-0.640714959	9782192.909	-0.581979424	1668034	-0.661679092	636693.5847	-0.875197118	152683	-0.642932124	5135	-0.215296221	55320	-0.550089548	5728	-0.286277824	18300000	-0.636228515	7830430.366	-0.809748515
1967	44637000000	-0.529437359	9732855.911	-0.624785497	1722470	-0.646068146	653692.1757	-0.704837406	163875	-0.601203787	5448	-0.132652554	58525	-0.503950045	5975	-0.233567351	18700000	-0.60844027	7808484.681	-0.828867509
1968	51293000000	-0.385367391	9610900.809	-0.730596939	1776905	-0.630457487	635932.4754	-0.882824948	168716	-0.583154566	5284	-0.175954667	60321	-0.478094648	5810	-0.2687788	19200000	-0.573704964	7684048.053	-0.937276206
1969	55715000000	-0.289652638	8931248.994	-1.320280665	1949066	-0.58108582	588275.3604	-1.360444086	192515	-0.494422196	6273	0.085178195	66843	-0.384203278	6987	-0.017603794	21200000	-0.43476374	7135134.02	-1.415487937
1970	67818000000	-0.027681662	8854750.91	-1.386652407	2121227	-0.531714152	566354.7878	-1.580131849	205267	-0.446877544	7078	0.2977282	70181	-0.336149093	7948	0.187476224	21500000	-0.413922557	6900224.933	-1.620139803
1971	71496000000	0.051929117	8694989.06	-1.525265975	2265323	-0.490390857	558376.1484	-1.660093694	218926	-0.395951226	7472	0.401758885	72230	-0.306651482	8417	0.287562101	22400000	-0.351399006	6787979.881	-1.717927248
1972	78206000000	0.197167921	8608875.009	-1.599980782	2409419	-0.449067562	539514.844	-1.849121501	218436	-0.397778146	7658	0.450869818	75187	-0.264082212	8713	0.350729307	23000000	-0.309716639	6617058.973	-1.866832866
1973	90730000000	0.468251496	8551104.947	-1.650103602	2532658	-0.413725557	551165.0008	-1.732363744	221528	-0.38624991	7572	0.428162613	73582	-0.287187954	8580	0.322346745	24300000	-0.219404844	6657788.201	-1.831349724
1974	79664000000	0.228726517	9566727.09	-0.768923215	2786375	-0.340965575	640602.2253	-0.836024761	213103	-0.417661743	5593	-0.09436715	62575	-0.445645836	6346	-0.15439494	24900000	-0.177722476	7953440.572	-0.702582511
1975	85111000000	0.346627526	9203210.001	-1.084320168	3118901	-0.245605052	613972.8249	-1.102904349	260762	-0.23996957	6960	0.266571802	76717	-0.242056177	8001	0.198786568	26100000	-0.094357742	7451991.266	-1.13944316
1976	87683000000	0.402298793	9769373.403	-0.593101963	3201718	-0.221855112	636570.5248	-0.876430423	296565	-0.106481397	7071	0.295879939	77478	-0.231100745	8030	0.204975247	24500000	-0.205510721	7864122.869	-0.78039574
1977	85130000000	0.347038783	10510612.8	0.050016762	3203830	-0.221249441	704635.7416	-0.19428149	263365	-0.230264526	5667	-0.074828392	77310	-0.233519289	6420	-0.138603139	23900000	-0.247193088	8666881.113	-0.081035938
1978	90669000000	0.466931144	10611189.11	0.137279405	3315323	-0.189275908	706825.5843	-0.172334908	288638	-0.136036483	5694	-0.067699385	81278	-0.176395561	6550	-0.110860785	24100000	-0.233298966	8720346.585	-0.03445703
1979	71247000000	0.04653948	11238003.49	0.681119987	3457570	-0.148482862	779569.5777	0.556704678	265099	-0.223799467	5394	-0.146910567	71186	-0.321681011	6037	-0.220336382	23600000	-0.268034272	9444645.905	0.596549668
1980	74887000000	0.125327744	10607144.29	0.133770013	3494748	-0.137821099	723681.1702	-0.003408392	319507	-0.020944272	6589	0.168613974	88791	-0.068237655	7572	0.107236799	23800000	-0.254140149	8604294.733	-0.135560944
1981	83939000000	0.321259437	10217214.99	-0.204542866	3739207	-0.06771609	686317.7896	-0.377863825	379852	0.204046478	7966	0.532193298	102729	0.132415199	9087	0.430541926	24300000	-0.219404844	8021266.032	-0.643493239
1982	75784000000	0.144743423	10382019.36	-0.061554276	4055860	0.023092436	720070.3362	-0.039596135	392971	0.252959456	8047	0.553580317	104707	0.160890687	9154	0.444839909	25500000	-0.136040109	8327041.142	-0.377103174
1983	74688000000	0.121020363	10437854.02	-0.013110662	4203945	0.06555968	719924.0583	-0.041062131	388599	0.236658858	7941	0.525592366	106457	0.186083864	9121	0.437797619	26100000	-0.094357742	8395547.215	-0.317420955
1984	81798000000	0.274917219	10415609.66	-0.032410452	4470021	0.141863929	708446.0034	-0.156095084	412097	0.324268977	8376	0.64044858	110333	0.241883151	9621	0.544498981	27200000	-0.017940069	8451880.217	-0.268343867
1985	75202000000	0.132145959	10738998.11	0.248169842	4569520	0.170397869	742325.7708	0.183447611	369185	0.164275555	7692	0.459847085	102685	0.131781771	8972	0.406000613	27800000	0.023742298	8866376.728	0.092763852
1986	71034000000	0.041929068	10734402.85	0.244182874	4763231	0.225949562	755816.2792	0.318649354	372667	0.17725787	8075	0.560973361	112210	0.268904632	9343	0.485173024	28400000	0.065424665	8876738.911	0.101791345
1987	80727000000	0.251735287	10468273.33	0.013281929	4827225	0.244301514	715234.0576	-0.088065272	387148	0.231248939	8431	0.65497063	117697	0.347896038	9905	0.605105354	29000000	0.107107032	8536321.596	-0.194778872
1988	99737000000	0.663209159	10080640.82	-0.323038195	4862988	0.254557489	667600.8034	-0.565445277	418483	0.348078588	9016	0.809432434	126983	0.481578231	10691	0.772839895	29600000	0.148789399	8036737.92	-0.630014191
1989	99309000000	0.653945044	10271390.58	-0.157538705	5081527	0.317229261	694426.5547	-0.296597861	434935	0.409418348	9061	0.821314112	127388	0.487408652	10877	0.812532802	30200000	0.190471766	8196669.238	-0.490682661
1990	94092000000	0.541022415	10238064.36	-0.186453407	5200153	0.351248367	678992.618	-0.451276623	433287	0.403273932	9174	0.851150324	130773	0.536139453	11157	0.872285565	30600000	0.218260011	8151097.589	-0.530384501
1991	95908000000	0.580329966	10303584.06	-0.129606798	5324749	0.386979527	706154.6768	-0.179058737	444541	0.44523343	9222	0.863824113	136446	0.617808534	11069	0.853506125	31200000	0.259942378	8286308.803	-0.412589027
1992	97677000000	0.618620196	10531283.07	0.06795083	5391291	0.406062186	722476.3134	-0.015483455	429485	0.389098527	8378	0.640976654	126404	0.473242888	10142	0.6556818	31900000	0.308571806	8641507.665	-0.103141185
1993	97866000000	0.622711125	10567448.51	0.099328914	5457833	0.425144844	737791.7037	0.138007236	434029	0.406040411	7936	0.52427218	128036	0.496737325	9351	0.486880245	32600000	0.357201235	8890336.336	0.113637367
1994	1.02256E+11	0.717733234	7903389.06	-2.21207888	5524375	0.444227502	570907.2794	-1.534506823	467997	0.532686956	8140	0.578135784	138416	0.646168852	9981	0.621323961	40400000	0.899072007	6889307.138	-1.629651343
1995	1.09241E+11	0.868924449	9458121.592	-0.863152191	6458513	0.712115993	688127.5969	-0.359725954	500233	0.6528759	8335	0.629623052	146725	0.765786055	10256	0.680009711	40630000	0.915050248	8260750.645	-0.434855193
1996	1.13376E+11	0.958427051	9782023.145	-0.582126716	6506868	0.725983054	706409.7954	-0.176501941	520774	0.729461118	7850	0.501564975	135049	0.597697181	9848	0.592941399	40583572	0.911824866	8545155.061	-0.187083192
1997	1.15017E+11	0.993946705	9644682.385	-0.701287158	6555223	0.739850114	709221.8062	-0.148319996	505988	0.674332885	7790	0.485722738	140753	0.67981254	9691	0.559437171	41226700	0.956503362	8476533.733	-0.246865821
1998	1.17025E+11	1.037410121	9710290.692	-0.644363672	6603578	0.753717174	712648.876	-0.113973936	511605	0.69527535	7260	0.345782984	129672	0.520289346	9068	0.426487274	42130500	1.019290901	8681043.77	-0.068697487
1999	1.16911E+11	1.034942576	9629425.711	-0.714524249	6729032	0.789694388	635772.2222	-0.884431004	452915	0.476455114	7342	0.36743404	161717	0.9816124	10523	0.736988238	42640000	1.054686178	8136476.27	-0.543122536
2000	1.0936E+11	0.871500219	9794993.16	-0.570873591	6814531	0.814213462	739091.9369	0.15103816	498222	0.645378073	6679	0.192377328	159704	0.952633049	8494	0.303994111	43326000	1.102343017	8915525.773	0.135582305
2001	1.1255E+11	0.940548176	8619882.568	-1.590430336	6904355	0.839972842	631048.1891	-0.931775217	546247.8908	0.824438164	8802	0.752928458	161082.6821	0.972480695	11201	0.881675285	44819777	1.206116619	7614871.247	-0.997542766
2002	1.13494E+11	0.960981176	8122807.287	-2.021705876	7000316	0.867492167	590000.779	-1.343151957	539340.472	0.798684492	9973	1.062116104	160816.5884	0.968649983	12198	1.094437801	45401096	1.246501206	7141367.168	-1.410057644
2003	1.17875E+11	1.055808479	8118947.289	-2.025054911	7186537	0.920895907	610489.5288	-1.137813909	595303.1666	1.007336221	10197	1.121260453	166969.8915	1.057233556	12353	1.127515223	45997195	1.287912568	7182443.542	-1.374272069
2004	1.22476E+11	1.15539771	8067734	-2.069488903	7479178	1.004818364	588556	-1.357631518	599736.023	1.023863716	10607	1.229515735	173888.7179	1.156837679	12772	1.216930964	46589256	1.329043408	7211276	-1.349153346
2005	1.25475E+11	1.220311447	8634419	-1.577818146	7971187	1.145914807	663232	-0.609229381	635185.4219	1.156033521	11736	1.527613816	181590.7654	1.267717132	14135	1.507798877	47176879	1.369865938	7513530	-1.085830859
2006	1.28086E+11	1.276826874	9190377	-1.095454416	8544902	1.310442581	645475	-0.78718986	697032.8294	1.386625858	12456	1.717720652	202198.4941	1.564388073	15419	1.781807975	47390900	1.384734107	7818171	-0.820428826
2007	1.34095E+11	1.406892445	9738952.136	-0.619496252	9068120	1.460489021	716279.5662	-0.077587195	720515.0301	1.474177071	12011	1.600224066	208140.4572	1.649929174	14920	1.675320015	47849800	1.416614171	8129674	-0.549048647
2008	1.49405E+11	1.73827097	9820596.707	-0.548659283	9109358.186	1.472315149	730959.1442	0.069531392	727847.929	1.501517107	11714.51987	1.521942261	197624.0983	1.49853461	14201.6294	1.522017772	48687300	1.474795809	8581846.782	-0.15511751
2009	1.42203E+11	1.582391997	10663900.33	0.18301304	9532888.555	1.593773554	801719.4853	0.778690834	758550.3911	1.615988396	11010.75202	1.336121317	197274.2138	1.493497637	13543.11977	1.381490024	49319800	1.518735971	9391114.262	0.549913113
2010	1.23616E+11	1.180076514	10590028	0.118919471	9829400	1.678805962	760628	0.366872372	757019.0388	1.610278891	10837	1.290244308	216776.2457	1.774250856	13967	1.471947219	49991300	1.565385486	9237354	0.415957782
2011	1.6689E+11	2.11673368	10994119	0.469519412	10193050	1.783092106	801069	0.772171676	784959.3311	1.714451686	11228	1.393482882	201956.3075	1.560901531	13954	1.469172984	51770560	1.688991767	9682452	0.803725396
2012	1.52164E+11	1.797990781	11497225	0.906027362	10610671	1.902855845	886554	1.628901505	818725.2611	1.840344832	10977	1.327209526	208035.7978	1.648422487	13528	1.378263423	52991657.49	1.773822157	10155165	1.215551089
2013	51368616780	-0.383730657	11940912	1.290981831	11006184	2.016279538	934728	2.111700859	863011.2097	2.005460895	10170	1.114131447	216348.1834	1.768088428	11844	1.018893236	52982000	1.773151245	10645046	1.642333476
2014	63803730360	-0.114571039	12363276	1.657435906	11369925	2.120591778	993351	2.699219988	879571.0698	2.067202801	10367	1.16614679	227623.1597	1.930404125	12702	1.201992773	54002000	1.844011269	11148372	2.080829093
2015	97689909230	0.618899618	12724034	1.970439001	11710756	2.218333977	1013278	2.898928186	901986.6166	2.150777094	10613	1.231099959	227688.5087	1.931344896	12944	1.253636233	54956900	1.910348757	11656426	2.523443725
2016	1.78114E+11	2.359689297	12999683	2.209599297	11964234	2.29102542	1035449	3.12112573	925774.2537	2.239467098	11676	1.51177158	224860.6336	1.89063452	14071	1.494141103	55908900	1.976484779	12162813	2.964606074
2017	1.70945E+11	2.204515527	13269735	2.443903489	12205112	2.360103484	1064623	3.413507271	959742.299	2.366113813	11437	1.448666672	233976.0429	2.021860873	14050	1.489659645	56521948	2.019073599	12658135	3.396128638
